1,Bottle,Bottle,NULL,X
2,Bal,Bal,NULL,X
3,Bar,Bar,NULL,X
4,Batang,Batang,NULL,X
6,Box,Box,NULL,X
7,Buku,Buku,NULL,X
8,Bungkus,Bungkus,NULL,X
9,cmb,cmb,NULL,X
10,Drum,Drum,NULL,X
11,Dus,Dus,NULL,X
12,Each,Each,NULL,X
13,Galon,Galon,NULL,X
14,Hari,Hari,NULL,X
15,Kaleng,Kaleng,NULL,X
16,Kg,Kilo Gram,NULL,X
17,Kotak,Kotak,NULL,X
18,Lembar,Lembar,NULL,X
19,Liter,Liter,NULL,X
20,Lot,Lot,NULL,X
21,Lusin,Lusin,NULL,X
22,M3,M3,NULL,X
23,Meter,Meter,NULL,X
24,Pack,Pack,NULL,X
25,Pail,Pail,NULL,X
26,Pasang,Pasang,NULL,X
27,Pc,Pc,NULL,X
28,Pcs,Pieces,NULL,X
29,Psg,Pasang,NULL,X
30,Rim,Rim,NULL,X
31,Rit,Rit,NULL,X
32,Roll,Roll,NULL,X
33,Sak,sak,NULL,X
34,Set,Set,NULL,X
35,Sheet,Sheet,NULL,X
36,Struk,Struk,NULL,X
37,Tabung,Tabung,NULL,X
38,Unit,Unit,NULL,X
79,Gram,Gram,NULL,X
